starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
4/26/16 9:28,4/26/16 9:33,4/26/16,9:28 AM,9:33 AM,"setting up basis, drinking coffee, listening to 80's pop",work,Calm,,1.00,2.00,6.00,,,,,2.00,1.00,9.00,0.00,3.00,8.00,0.00,0.00
4/26/16 9:33,4/26/16 10:02,4/26/16,9:33 AM,10:02 AM,"listening to 80's pop, going through work email",work,Calm,,,2.00,6.00,,,,,2.00,,8.00,0.00,2.00,8.00,0.00,0.00
4/26/16 10:02,4/26/16 10:25,4/26/16,10:02 AM,10:25 AM,meeting with student,work,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 10:25,4/26/16 10:35,4/26/16,10:25 AM,10:35 AM,meeting with mick,work,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 10:35,4/26/16 10:45,4/26/16,10:35 AM,10:45 AM,meeting with student,school,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 10:45,4/26/16 11:00,4/26/16,10:45 AM,11:00 AM,walking to 16th street,school,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 11:00,4/26/16 12:05,4/26/16,11:00 AM,12:05 PM,talking with daniel about thesis,school,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 12:05,4/26/16 12:15,4/26/16,12:05 PM,12:15 PM,walking back to office exercise,,Calm,,,,6.00,,,,,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 12:15,4/26/16 12:26,4/26/16,12:15 PM,12:26 PM,"listening to 80's pop, eating pretzels",work,Calm,,,,6.00,,,,3.00,4.00,,6.00,0.00,0.00,6.00,0.00,0.00
4/26/16 12:26,4/26/16 13:00,4/26/16,12:26 PM,1:00 PM,"meeting with Colin, work stuff",work,Calm/Annoyed,,,,4.00,4.00,,2.00,,4.00,,4.00,6.00,0.00,4.00,6.00,4.00
4/26/16 13:00,4/26/16 13:38,4/26/16,1:00 PM,1:38 PM,Responding to Faculty,work,Annoyed,,,,,4.00,,4.00,,4.00,,0.00,8.00,0.00,0.00,8.00,4.00
4/26/16 13:38,4/26/16 14:02,4/26/16,1:38 PM,2:02 PM,"Emailing, thinking about ",work,Annoyed/Angry,,,,,,,5.00,,4.00,,0.00,5.00,0.00,0.00,5.00,0.00
4/26/16 14:02,4/26/16 15:30,4/26/16,2:02 PM,3:30 PM,computer work,work,Annoyed/Angry,,,,,5.00,,5.00,,5.00,,0.00,10.00,0.00,0.00,10.00,5.00
4/26/16 15:30,4/26/16 16:12,4/26/16,3:30 PM,4:12 PM,Fine Arts BS,work,Annoyed/Angry,,,,,,,8.00,,5.00,,0.00,8.00,0.00,0.00,8.00,0.00
4/26/16 16:12,4/26/16 17:21,4/26/16,4:12 PM,5:21 PM,Food and Uway,work,Calm/Annoyed,,,,4.00,3.00,,3.00,,6.00,,4.00,6.00,0.00,4.00,6.00,3.00
4/26/16 17:21,4/26/16 17:26,4/26/16,5:21 PM,5:26 PM,Christian talk,work,Calm/Annoyed,,,,4.00,3.00,,3.00,,,,4.00,6.00,0.00,4.00,6.00,3.00
