Date,Start Time,End TIme,Activity,General Emotion,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,Location
4/26/16,9:28 AM,9:33 AM,"setting up basis, drinking coffee, listening to 80's pop",Calm,,2,6,,,,,2,,work
4/26/16,9:33 AM,10:02 AM,"listening to 80's pop, going through work email",Calm,,2,6,,,,,2,,work
4/26/16,10:02 AM,10:25 AM,meeting with student,Calm,,,6,,,,,4,,work
4/26/16,10:25 AM,10:35 AM,meeting with Mick,Calm,,,6,,,,,4,,work
4/26/16,10:35 AM,10:45 AM,meeting with student,Calm,,,6,,,,,4,,work
4/26/16,10:45 AM,11:00 AM,walking to 16th street,Calm,,,6,,,,,4,,school
4/26/16,11:00 AM,12:05 PM,talking with daniel about thesis,Calm,,,6,,,,,4,,school
4/26/16,12:05 PM,12:15 PM,walking back to office,Calm,,,6,,,,,4,,school
4/26/16,12:15 PM,12:26 PM,"listening to 80's pop, eating pretzels",Calm,,,6,,,,3,4,,work
4/26/16,12:26 PM,1:00 PM,"meeting with Colin, work stuff",Calm/Annoyed,,,4,4,,2,,4,,work
4/26/16,1:00 PM,1:38 PM,Responding to Faculty,Annoyed,,,,4,,4,,4,,work
4/26/16,1:38 PM,2:02 PM,"Emailing, thinking about ",Annoyed/Angry,,,,,,5,,4,,work
4/26/16,2:02 PM,3:30 PM,computer work,Annoyed/Angry,,,,5,,5,,5,,work
4/26/16,3:30 PM,4:12 PM,Fine Arts BS,Annoyed/Angry,,,,,,8,,5,,work
4/26/16,4:12 PM,5:21 PM,Food and Uway,Calm/Annoyed,,,4,3,,3,,6,,food
4/26/16,5:21 PM,5:26 PM,Christian talk,Calm/Annoyed,,,4,3,,3,,,,work
4/26/16,5:26 PM,5:50 PM,Code with Jamie,Calm/Annoyed,,,4,3,,3,,,,school
4/26/16,6:50 PM,7:00 PM,Walking to class,Calm,,,5,,,5,,,,school
4/26/16,7:00 PM,7:53 PM,Eating watching presentations,Calm,,,5,,,,,,,school
4/26/16,7:53 PM,8:26 PM,waiting to present,Calm,,,5,,,,,,,school
4/26/16,8:26 PM,10:00 PM,waiting to present,Calm,,,5,,,,,,,school
4/26/16,10:00 PM,10:15 PM,leave work,Calm,,,5,,,,,,,
4/26/16,10:15 PM,10:20 PM,at penn,Very Anxious,,,5,,,,,,,
4/26/16,10:20 PM,10:35 PM,At Penn with Jaime,Anxious,,,,10,,,,,,
4/26/16,10:35 PM,10:50 PM,alone in penn,Anxious,,2,2,6,,,,,,
4/26/16,10:50 PM,11:40 PM,on train talking to jen ,Anxious,,2,2,6,,,,,,
4/26/16,11:40 PM,11:59 PM,Home getting ready for bed,Anxious,,2,2,6,,,,,,
4/27/16,12:00 AM,12:15 AM,In bed,Anxious,,2,2,6,,,,,,
4/27/16,12:15 AM,4:30 AM,Sleeping,,,,,,,,,,,
4/27/16,4:31 AM,5:30 AM,Sleeping,,,,,,,,,,,
4/27/16,5:32 AM,6:30 AM,Sleeping,,,,,,,,,,,
4/27/16,6:30 AM,6:40 AM,Shower,,,,,,,,,,,
4/27/16,6:40 AM,7:05 AM,Get Dressed,Anxious,,,2,8,,,,,,
4/27/16,7:05 AM,7:12 AM,Go to station wait for train,Anxious,,,2,8,,,,,,
4/27/16,7:12 AM,8:00 AM,Train,Anxious,,,2,8,,,,,,
4/27/16,8:00 AM,8:27 AM,Walking to work,Anxious,,,2,8,,,,,,
4/27/16,8:27 AM,8:45 AM,"returning equipment, discussing missing equipment",Anxious,,,3,6,,,,,,
4/27/16,8:45 AM,9:10 AM,Updating logs,Anxious,,,3,6,,,,,,
4/27/16,9:10 AM,9:48 AM,Going through morning work routine,Anxious,,,3,6,,,,,,
4/27/16,9:48 AM,10:53 AM,Work stuff,Anxious,,,3,3,,3,,,,
4/27/16,10:53 AM,12:05 PM,Work stuff/coding,Anxious/Angry,,,3,3,,5,,,,
4/27/16,12:05 PM,1:00 PM,Work stuff/coding,Anxious/Angry,,,,6,,8,,,,
4/27/16,1:00 PM,2:04 PM,Talk with Colin ,Calm,,,,6,,8,,,,
4/27/16,2:04 PM,3:00 PM,Work stuff/coding,Calm/Anxious,,,6,4,,,,,,
4/27/16,3:00 PM,4:20 PM,Work Cage,Calm/Anxious,,,6,4,,,,,,
4/27/16,4:20 PM,4:30 PM,Hashem Catch up,Anxious,,,,6,,,,,,
4/27/16,4:30 PM,5:30 PM,Work stuff/coding,Calm/Anxious,,,6,4,,,,,,
4/27/16,5:30 PM,6:39 PM,leaving work,Calm/Anxious,,,6,4,,,,,,
4/27/16,6:39 PM,7:30 PM,on train,Calm/Anxious,,,6,4,,,,,,
4/27/16,7:30 PM,7:46 PM,Home,Calm/Anxious,,,6,4,,,,,,
4/27/16,7:46 PM,1:30 AM,Coding,Calm/Anxious,,,6,4,,,,,,
4/28/16,1:30 AM,6:30 AM,giving up,angry/anxious,,,,4,,4,,,,
4/28/16,6:30 AM,6:40 AM,shower,calm,,,,,,,,,,
4/28/16,6:40 AM,7:10 AM,Geting ready and getting to train,Calm/Anxious,,,4,4,,,,,,
4/28/16,7:10 AM,8:15 AM,email from GEYER,ANGRY,,,,,,10,,,,
4/28/16,8:15 AM,9:51 AM,,ANGRY,,,,,,10,,,,
4/28/16,9:51 AM,10:00 AM,Cooling off,Angry Anxious,,,,,,6,,,,
4/28/16,10:00 AM,11:10 AM,Meeting,Calm,,,6,,,4,,,,
4/28/16,11:10 AM,12:05 PM,Tour,Happy,,6,,3,,,,,,
4/28/16,12:05 PM,1:35 PM,Anxious/Calm,,,,4,4,,,,,,
4/28/16,1:35 PM,1:49 PM,code daniel,Angry/frustrated,,,,,,5,,,,
4/28/16,1:49 PM,3:26 PM,calm,,,,4,4,,,,,,
4/28/16,3:26 PM,4:30 PM,calm,,,,,,,8,,,,
4/28/16,4:30 PM,5:00 PM,Fine Arts,Angry,,,,,,10,,,,
4/28/16,5:00 PM,6:00 PM,Bs before class,calm/angry,,,4,,,4,,,,
4/28/16,6:00 PM,8:00 PM,coding,calm/angry,,,4,,,4,,,,
4/28/16,8:00 PM,8:15 PM,assignment,Angry,,,,,,8,,,,
4/28/16,8:15 PM,8:30 PM,Going to Train,calm/angry,,,3,,,6,,,,
4/28/16,8:30 PM,9:30 PM,Train home,calm,,,6,,,2,,,,
4/28/16,9:30 PM,10:10 PM,"Coding, TV in background",calm,,,6,,,2,,,,
4/28/16,10:10 PM,11:59 PM,coding tv sleeping,calm,,,10,,,,,,,
4/29/16,12:00 AM,5:30 AM,sleep,calm,,,10,,,,,,,
4/29/16,5:30 AM,5:31 AM,wake,calm,,,10,,,,,,,
4/29/16,5:31 AM,6:20 AM,sleep,calm,,,10,,,,,,,
4/29/16,6:20 AM,6:30 AM,wake,calm,,,10,,,,,,,
4/29/16,6:30 AM,6:45 AM,Shower Dress,calm,,,8,,,,,,,
