 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,startTime,endTime
2016-04-22,13:48:00,16:12:00,writing thesis,barb's office,anxious,6,,,,,,,,,,2016-04-22 13:48:00,2016-04-22 16:12:00
2016-04-22,16:12:00,17:15:00,writing thesis,barb's office,anxious,6,,,,,,,,,,2016-04-22 16:12:00,2016-04-22 17:15:00
2016-04-22,17:15:00,19:05:00,eating russian dumplings with annie then watching hashem give everyone a dumpling and seeing them enjoy them!!!,5th floor lounge,happy,10,,,,,,,,,,2016-04-22 17:15:00,2016-04-22 19:05:00
2016-04-22,19:05:00,19:15:00,photofeast,3rd floor,excited/anxious,5/3,,,,,,,,,,2016-04-22 19:05:00,2016-04-22 19:15:00
2016-04-22,19:15:00,19:25:00,naked picture of charles in photofeast,3rd floor,what can only be described as traumatic shock,10,,,,,,,,,,2016-04-22 19:15:00,2016-04-22 19:25:00
2016-04-22,19:25:00,19:40:00,colin making fun of me for drinking a beer. then annie making fun of me for drinking a beer.,3rd floor,whatever emotion slanty eye is,8,,,,,,,,,,2016-04-22 19:25:00,2016-04-22 19:40:00
2016-04-22,19:40:00,20:30:00,made awkward eye contact/facial expression exchange with prof i've been crushing on all semester only to then walk into someone else i knew and didn't need to see!,outside of 80 5th av,anxious,10,,,,,,,,,,2016-04-22 19:40:00,2016-04-22 20:30:00
2016-04-22,20:30:00,21:00:00,eating ice cream with annie!,chinatown ice cream factory,happy,10,,,,,,,,,,2016-04-22 20:30:00,2016-04-22 21:00:00
2016-04-22,21:00:00,21:50:00,got home,home,calm,9,,,,,,,,,,2016-04-22 21:00:00,2016-04-22 21:50:00
2016-04-22,21:50:00,23:00:00,start exercising (~1hr),home,n/a?,,,,,,,,,,,2016-04-22 21:50:00,2016-04-22 23:00:00
2016-04-22,23:00:00,05:00:00,finished shower,home,calm,10,,,,,,,,,,2016-04-22 23:00:00,2016-04-22 05:00:00
