starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-02 13:25:00,2016-05-02 13:28:00,2016-05-02,1:25 PM,1:28 PM,Trying on watch,Barb's Office,Excited,8,8,8,,,,,,,,16,0,16,8,0,0
2016-05-02 13:40:00,2016-05-02 13:48:00,2016-05-02,1:40 PM,1:48 PM,Editing photos for work,Barb's Office,Streeeeeessed,6,,,,,,,,,,0,0,0,0,0,0
2016-05-02 13:48:00,2016-05-02 13:48:00,2016-05-02,1:48 PM,1:48 PM,Wafer fit perfectly on top of cup,Barb's Office,HAPPY,10,10,10,,,,,,,,20,0,20,10,0,0
2016-05-02 14:31:00,2016-05-02 14:50:00,2016-05-02,2:31 PM,2:50 PM,Sorting through magnetic pins,Barb's Office,Anxious,5,,,,5,,6,,,,0,11,0,0,11,5
2016-05-02 15:10:00,2016-05-02 15:14:00,2016-05-02,3:10 PM,3:14 PM,Trying to figure out where photos went,Barb's Office,"ANXIOUS, CONFUSED",9,,,,9,,,,,,0,9,0,0,9,9
2016-05-02 16:17:00,2016-05-02 16:20:00,2016-05-02,4:17 PM,4:20 PM,Lightroom not opening,5th floor lounge,Anxious,8,,,,8,,,,,,0,8,0,0,8,8
2016-05-02 16:30:00,2016-05-02 16:55:00,2016-05-02,4:30 PM,4:55 PM,Meeting with Jonathan Bach,Jonathan Bach's office,Anxious,5,,,,5,,,,,,0,5,0,0,5,5
2016-05-02 19:50:00,2016-05-02 21:00:00,2016-05-02,7:50 PM,9:00 PM,Going home,"Train, bus","Tired, calm",8,,,5,,,,,,,5,0,0,5,0,0
2016-05-02 21:20:00,2016-05-02 21:50:00,2016-05-02,9:20 PM,9:50 PM,Shopping for thumb tacks,Home Depot,Calm,6,,,5,,,,,,,5,0,0,5,0,0
2016-05-02 22:00:00,2016-05-02 22:07:00,2016-05-02,10:00 PM,10:07 PM,ATM wouldn't give me my money,Chase,"Angry, anxious",9,,,,8,,8,,,,0,16,0,0,16,8
2016-05-03 00:04:00,2016-05-03 00:24:00,2016-05-03,12:04 AM,12:24 AM,Workout,Home,Tired,5,,,,,,,,5,,0,0,0,0,0,0
2016-05-03 09:00:00,2016-05-03 09:10:00,2016-05-03,9:00 AM,9:10 AM,Woke up late,Home,"Anxious, frantic",8,,,,10,,,,10,,0,10,0,0,10,10
